row_label,Standard Federal Region / State,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Region I — Massachusetts,1093,905,644,213,38,0,0,0,8,178,137,7,34,21,4,11,
Region I (subtotal — CT/MA/ME/NH/RI/VT),2121,1706,1311,317,64,1,0,0,8,337,270,12,55,33,5,30,
Region II (subtotal — NJ/NY/PR/VI/Guam),5398,4355,2683,1251,175,41,0,0,27,944,762,47,135,36,4,24,
Region III (subtotal — DE/DC/MD/PA/VA/WV),4062,3196,2357,583,102,27,1,1,21,656,473,57,126,115,8,60,
