Division and State,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
South Atlantic,1400,957,659,190,60,29,,,,412,381,13,29,5,5,
East South Central,672,498,355,60,25,10,,,,173,,,,,,
West South Central,,,,,,,,,,,,,,,,
Mountain,,,,,,,,,,,,,,,,
Pacific,,,,,,,,,,,,,,,,
"Outlying Areas (Puerto Rico, Virgin Islands)",114,46,38,7,0,0,,,,63,,,,,,
"Total, all States and areas",13011,9200,6223,2106,559,128,,,36,3628,2955,261,412,79,25,79
