Industry,Establishments employing (workers)— / Less than 100,Establishments employing (workers)— / 100-199,Establishments employing (workers)— / 200-299,Establishments employing (workers)— / 300-399,Establishments employing (workers)— / 400-499,Establishments employing (workers)— / 500-999,"Establishments employing (workers)— / 1,000 and over"
Total,37,16,9,4,4,10,18
"Manufacturing, total",32,18,10,6,5,11,20
Transportation equipment,16,11,6,4,5,11,47
Agriculture and forestry,73,9,0,9,9,0,0
Mining,60,14,2,2,4,7,11
Construction,71,13,4,0,4,4,4
Wholesale trade,76,13,3,3,2,0,3
Retail trade,69,12,10,4,0,2,3
"Finance, insurance, and real estate",55,12,8,4,5,8,8
"Transportation, communication, and other public utilities",55,15,5,3,2,8,12
Services,,,,,,,
