Stage of disposition,All R cases / Number of cases closed,All R cases / Percent of cases closed,RC cases / Number of cases closed,RC cases / Percent of cases closed,RM cases / Number of cases closed,RM cases / Percent of cases closed,RD cases / Number of cases closed,RD cases / Percent of cases closed,UD cases / Number of cases closed,UD cases / Percent of cases closed
Total number of cases closed,13325,100.0,11275,100.0,898,100.0,1152,100.0,203,100.0
Before issuance of notice of hearing,5086,38.2,3928,34.8,507,56.4,651,56.5,125,61.6
"After issuance of notice, before close of hearing",5696,42.7,5079,45.0,253,28.2,364,31.6,11,5.4
"After hearing closed, before issuance of decision",190,1.4,145,1.3,33,3.7,12,1.0,,
After issuance of regional director's decision,2233,16.8,2015,17.9,94,10.5,124,10.8,63,31.0
After issuance of Board decision,120,0.9,108,1.0,11,1.2,1,0.1,,
