row_label,Size of unit (number of employees),Number of employees eligible to vote,Total elections held,Total elections held — Percent of total,Elections in which representation rights were won by unions — Total — Number,Elections in which representation rights were won by unions — Total — Percent by class,Elections in which representation rights were won by unions — AFL-CIO unions — Number,Elections in which representation rights were won by unions — AFL-CIO unions — Percent by class,Elections in which representation rights were won by unions — Other national unions — Number,Elections in which representation rights were won by unions — Other national unions — Percent by class,Elections in which representation rights were won by unions — Other local unions — Number,Elections in which representation rights were won by unions — Other local unions — Percent by class,Elections in which representation was not chosen — Number,Elections in which representation was not chosen — Percent by class
Total RD elections,24485,531,100.0,138,100.0,124,89.9,1,0.7,13,9.4,393,100.0,
Under 10 employees,680,113,21.3,30,21.7,26,21.0,,,4,30.8,83,21.1,
