Stage and method of disposition,All C cases — Number of cases,All C cases — Percent of cases closed,CA cases — Number of cases,CA cases — Percent of cases closed,CB cases — Number of cases,CB cases — Percent of cases closed,CC cases — Number of cases,CC cases — Percent of cases closed,CD cases — Number of cases,CD cases — Percent of cases closed
Total number of cases closed,7289,100.0,4805,100.0,1857,100.0,479,100.0,148,100.0
Before issuance of complaint,6654,91.3,4433,92.2,1703,91.7,375,78.3,143,96.6
Adjusted (pre-complaint),728,9.9,445,9.2,233,12.5,31,6.5,19,12.8
Compliance with stipulated decision (pre-complaint),22,.3,,,,,,,,
Withdrawn (pre-complaint),3587,49.2,2397,49.9,988,53.2,165,34.4,26,17.6
Dismissed (pre-complaint),2242,30.8,1591,33.1,467,25.1,178,37.2,96,64.9
"After issuance of complaint, before opening of hearing",249,3.4,128,2.7,60,3.2,61,12.8,0,.0
Adjusted (post-complaint pre-hearing),89,1.2,56,1.2,17,.9,22,4.6,0,.0
Compliance with consent decree (post-complaint pre-hearing),124,1.7,53,1.1,39,2.1,25,5.3,0,.0
Withdrawn (post-complaint pre-hearing),29,.4,15,.3,11,.6,14,2.9,0,.0
"After hearing opened, before issuance of intermediate report",48,.7,28,.6,15,.8,5,1.0,0,.0
"After intermediate report, before issuance of Board decision — Compliance",33,.4,25,.5,3,.2,5,1.0,0,.0
After Board order adopting intermediate report in absence of exceptions,25,.3,18,.4,4,.2,3,.6,0,.0
"After Board decision, before court decree",161,2.2,103,2.1,33,1.8,20,4.2,5,3.4
Compliance (post-Board pre-court),126,1.7,81,1.7,27,1.5,15,3.2,3,2.0
Dismissed (post-Board pre-court),35,.5,22,.5,6,.3,5,1.0,2,1.4
