Court / disposition,Count
District courts:,
Suits commenced,83
Applications for temporary injunctions defeated,59
(a) By denial,46
(b) By granting motions to quash,5
(c) By withdrawal of suit,8
Applications for temporary injunctions granted,20
Pending,4
Circuit courts of appeals:,
Appeals perfected,42
Denial of temporary injunctions affirmed,14
Denial of temporary injunctions reversed,0
Granting of temporary injunctions affirmed,1
Granting of temporary injunctions reversed,0
Withdrawn,3
Pending,24
Stays pending appeal denied,2
Stays pending appeal granted,10
Supreme Court of the United States:,
Petitions for certiorari to review denial of injunction,1
Petitions denied,1
