Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total method/closed,CB cases — Number,CB cases — Percent of total method/closed,CC cases — Number,CC cases — Percent of total method/closed,CD cases — Number,CD cases — Percent of total method/closed,CE cases — Number,CE cases — Percent of total method/closed,CP cases — Number,CP cases — Percent of total method/closed
Total number of cases closed,26989,100.0,17856,100.0,5975,100.0,1760,100.0,665,100.0,84,100.0,500,100.0
Agreement of the parties,6416,23.8,4488,25.0,990,16.1,781,43.9,1,0.2,27,32.1,159,31.8
Informal settlement,6209,23.0,4372,24.4,914,15.3,747,42.0,1,0.2,20,23.8,155,31.0
Before issuance of complaint,4651,17.2,3141,17.6,727,12.2,630,35.5,,,17,20.2,136,27.2
"After issuance of complaint, before opening of hearing",1434,5.3,1123,6.2,175,2.9,113,6.5,1,0.2,3,3.6,19,3.8
After hearing opened before issuance of administrative law judge's decision,124,0.5,108,0.6,12,0.2,4,0.2,0,0,0,0,0,0
Formal settlement,207,0.8,116,0.6,46,0.8,34,1.9,0,0,7,8.3,4,0.8
"After issuance of complaint, before opening of hearing (Formal)",144,0.6,73,0.4,35,0.6,25,1.4,0,0,7,8.3,4,0.8
Stipulated decision (Formal),15,0.1,9,0.1,3,0.1,3,0.2,0,0,0,0,0,0
Consent decree (Formal),129,0.5,64,0.3,32,0.5,22,1.2,0,0,7,8.3,4,0.8
After hearing opened,63,0.2,43,0.2,11,0.2,9,0.5,0,0,0,0,0,0
Stipulated decision (After hearing),1,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0
Consent decree (After hearing),62,0.2,42,0.2,11,0.2,9,0.5,0,0,0,0,0,0
Compliance with,1150,4.3,908,5.0,154,2.5,53,3.0,13,2.0,3,3.6,19,3.8
Administrative law judge's decision (Compliance),452,1.7,371,2.1,58,1.0,16,0.9,3,0.5,0,0,4,0.8
Board decision (Compliance),698,2.6,537,3.0,96,1.6,37,2.1,10,1.5,3,3.6,15,3.0
