Circuit courts of appeals (headquarters),Total fiscal year 1965,Total cumulative fiscal years 1960-64,Affirmed in full / Fiscal year 1965 / Number,Affirmed in full / Fiscal year 1965 / Percent,Affirmed in full / Cumulative fiscal years 1960-64 / Number,Affirmed in full / Cumulative fiscal years 1960-64 / Percent,Modified / Fiscal year 1965 / Number,Modified / Fiscal year 1965 / Percent,Modified / Cumulative fiscal years 1960-64 / Number,Modified / Cumulative fiscal years 1960-64 / Percent,Remanded in full / Fiscal year 1965 / Number,Remanded in full / Fiscal year 1965 / Percent,Remanded in full / Cumulative fiscal years 1960-64 / Number,Remanded in full / Cumulative fiscal years 1960-64 / Percent,Affirmed in part and remanded in part / Fiscal year 1965 / Number,Affirmed in part and remanded in part / Fiscal year 1965 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1960-64 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1960-64 / Percent,Set aside / Fiscal year 1965 / Number,Set aside / Fiscal year 1965 / Percent,Set aside / Cumulative fiscal years 1960-64 / Number,Set aside / Cumulative fiscal years 1960-64 / Percent
Total all circuits,212,863,122,57.5,452,52.4,47,22.2,182,21.1,7,3.3,56,6.5,,,17,2.0,36,17.0,156,18.1
"1. Boston, Mass.",10,51,8,80.0,21,41.2,,,8,15.6,,,6,11.8,,,,,2,20.0,11,21.6
Per-circuit,,,,,,,,,,,,,,,,,,,,,,
