Stage and method,All R cases — Number of cases,All R cases — Percent of cases closed,NLRA R cases — Number of cases,NLRA R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed
Total number of cases closed,8761,100.0,22,100.0,7719,100.0,659,100.0,361,100.0
"Before formal action, total",6335,72.3,0,0,5661,73.4,406,61.6,263,72.9
"After formal action, total",2425,27.7,19,86.4,2055,26.6,253,38.4,98,27.1
After Board decision,1855,21.2,18,81.8,1568,20.3,201,30.5,68,18.8
