Industrial group,All cases,Unfair labor practice cases All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases All R cases,RC,RM,RD,UD,AC,UC
Metal mining,306,235,63,168,3,0,1,0,0,71,4,31,36,0,0,0
Coal mining,489,456,392,58,0,1,4,0,1,22,32,25,9,4,1,0
Oil and gas extraction,114,86,60,14,21,0,0,0,5,24,7,17,0,5,0,0
Mining and quarrying of nonmetallic minerals (except fuels),65,46,35,9,1,1,0,0,1,19,10,6,3,0,0,0
Mining — subtotal,974,823,440,293,54,8,1,0,27,146,48,43,55,9,1,0
Construction,5064,4562,3412,1121,543,152,17,0,117,473,275,104,54,7,2,20
Wholesale trade,2701,1970,1551,381,25,4,1,0,7,689,647,46,196,17,4,21
Retail trade,4350,3237,2503,605,35,26,9,0,59,1016,590,128,300,51,4,43
U.S. Postal Service,1355,1355,1044,306,1,0,1,0,1,0,0,0,0,0,0,0
Motor freight transportation and warehousing,2214,1803,1314,413,55,5,0,4,12,381,269,31,81,12,4,13
"Transportation, communication, and other utilities — subtotal",5282,4336,2898,1275,111,20,12,0,20,868,638,59,173,27,6,45
Health services,2650,1834,1512,217,41,11,1,0,34,670,543,23,104,11,5,28
"Hotels, rooming houses, camps, and other lodging places",1186,979,704,247,23,5,0,0,0,169,116,16,37,4,1,22
Business services,1870,1472,1012,369,38,6,0,1,5,297,234,47,16,25,5,71
Additional service,,,,,,,,,,,,,,,,
