row_label,col_1,col_2,col_3
Received-Closed-Pending,1,Ruled on Size of Units Types of Elections,17
Distribution of Intake: by Industry,5,Union - Shop Deauthorization,11
Geographic Court Litigation,"6A, B",Polls-Results of Valid Votes Cast,12 14
,,Unfair Labor Practice Cases,
Appellate Decisions Enforcement and Review,19A 19,Received-Closed-Pending,"1, lA"
Injunction Litigation,20,"Allegations, Types of",2
Miscellaneous Litigation Representation and Union,21,Disposition: by Method,7
Deauthorization Cases General,,by Stage Jurisdictional Dispute Cases (Before Complaint),8 7A
Received-Closed-Pending,"1, 1B",Formal Actions Taken,3A 4
Disposition: by Method,,Remedial Actions Taken Size of Establishment (Number,
by Stage,10 9,of Employees),18
Formal Actions Taken Elections,3B,Amendment of Certification Unit Clarification Cases,and
Final Outcome,13,Received-Closed-Pending,1
Geographic Distribution,"15A, B",Disposition by Method Formal Actions Taken,10A 3C
Industrial Distribution,,,
Objections/Challenges:,16,Advisory Opinions,
Elections Conducted,11A 11D,,22
Disposition Party Filing,11C,Received-Closed-Pending Disposition by Method,22A
