Action taken,Total all,Remedial action taken by— / Employer / Total,Remedial action taken by— / Employer / Pursuant to— Agreement of parties / Informal settlement,Remedial action taken by— / Employer / Pursuant to— Agreement of parties / Formal settlement,Remedial action taken by— / Employer / Pursuant to— Recommendation of administrative law judge / Recommendation of administrative law judge,Remedial action taken by— / Employer / Pursuant to— Order of— Board / Board,Remedial action taken by— / Union / Pursuant to— Order of— Court / Court,Remedial action taken by— / Union / Total,Remedial action taken by— / Union / Pursuant to— Agreement of parties / Informal settlement,Remedial action taken by— / Union / Pursuant to— Agreement of parties / Formal settlement,Remedial action taken by— / Union / Pursuant to— Recommendation of administrative law judge / Recommendation of administrative law judge
Objections to employment withdrawn,23,0,,,,,,23,16,0,0
Employees receiving backpay,18434,18280,14962,355,8,1525,930,154,80,5,0
From either employer or union,206,202,140,0,0,37,25,4,,29,40
"Employees reimbursed for fees, dues, and fines",5035,785,361,0,0,190,234,4250,4242,0,0
From either employer or union,4,0,,,,,,4,,,4
C. By amounts of monetary recovery,39858351,38598988,20430403,1111412,123305,3481591,13392810,1259363,859346,64,168978
"Backpay (including all monetary payments except fees, dues, and fines)",39120266,38181795,20072677,1111412,123305,3481591,13392810,938471,552349,34838,155147
From either employer or union,738085,417193,357726,0,0,13533,46932,320892,306997,0,13831
