Industrial group,Total elections,Number of elections in which representation rights won by unions — Total,Number of elections in which representation rights won by unions — AFL-CIO,Number of elections in which representation rights won by unions — Teamsters,Number of elections in which representation rights won by unions — Other national,Number of elections in which representation rights won by unions — Other local,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total votes for no union,Eligible employees in units choosing representation
Food and kindred products,546,288,143,124,5,16,258,33396,29724,16613,9065,5701,196,1651,13111,17324
Tobacco manufactures,5,3,2,1,0,0,2,766,711,337,44,293,0,0,374,374
Textile mill products,94,38,25,8,1,4,56,20000,17170,7548,6041,604,176,727,9622,10068
Apparel and other finished products made from fabric and similar materials,98,37,31,5,0,1,61,13939,12365,5514,4972,519,0,10,6848,4533
Lumber and wood products (except furniture),248,120,77,36,4,3,128,20317,18163,9197,7492,885,382,388,8966,6732
Furniture and fixtures,144,64,42,13,3,6,80,16581,14260,6922,6416,1043,282,181,7936,6432
Paper and allied products,172,85,53,24,4,1,90,12023,10775,5037,3808,1032,168,0,5738,5859
"Printing, publishing, and allied industries",327,167,63,39,16,9,162,10855,9459,4373,3621,515,98,177,5088,3869
Chemicals and allied products,278,138,74,38,16,9,144,16663,14452,7241,4378,1412,510,941,6228,7263
Manufacturing — Total,4636,2293,1374,582,210,127,2343,379097,333210,167104,108924,28341,19676,10163,166106,149597
