Size of establishment (number of employees),Total — Number of situations,Total — Percent of total,Total — Cumulative percent,CA — Number,CA — Percent by class,CB — Number,CB — Percent by class,CC — Number,CC — Percent by class,CD — Number,CD — Percent by class,CE — Number,CE — Percent by class,CG — Number,CG — Percent by class,CP — Number,CP — Percent by class,CA-CB combinations — Number,CA-CB combinations — Percent by class,Other C combinations — Number,Other C combinations — Percent by class
Total ULP situations FY1991 (all establishment sizes),729597,100.0,,20614,100.0,6555,100.0,1028,100.0,215,100.0,40,100.0,19,100.0,192,100.0,923,100.0,54,100.0
Under 10 employees,7675,25.6,,4953,24.0,1508,23.0,377,36.7,85,39.4,,,,,,26.3,228,24.6,,
