Category of decision,Number
Backpay,12
Determinations in jurisdictional disputes,17
Representation decisions,287
After transfer by Regional Directors for initial decision,2
After review of Regional Director decisions,56
On objections and/or challenges,229
Other decisions,7
Clarification of bargaining unit,5
Amendment to certification,0
Union-deauthorization,2
Noncontested decisions,419
Unfair labor practice,199
Representation,216
Other,4
