Type of election,All R elections — Total elections,All R — Withdrawn or dismissed before certification,All R — Resulting in rerun or runoff,All R — Resulting in certification,RC elections — Total,RC — Withdrawn before cert,RC — Resulting in rerun or runoff,RC — Resulting in cert,RM elections — Total,RM — Withdrawn,RM — Rerun or runoff,RM — Cert,RD elections — Total,RD — Withdrawn,RD — Rerun or runoff,RD — Cert
All types,8611,18,231,8362,7778,13,222,7543,427,3,6,418,406,2,3,401
Consent elections,1969,3,38,1928,1746,3,34,1709,95,0,3,92,127,0,1,126
Stipulated elections,4911,4,135,4784,4357,4,119,4242,269,3,7,259,232,0,9,223
Regional director-directed,1594,9,66,1519,1472,9,65,1400,58,0,1,57,64,2,0,62
Board-directed,104,1,4,99,95,1,4,90,4,0,0,4,5,0,0,5
Expedited — Sec. 8(b)(7)(C),33,1,0,32,33,1,0,32,,,,,,,,
