row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
All types,3752,86,94,3572,3182,80,82,3020,62,0,3,59,508,6,9,493
"'n Rerun required 49 : .4 - Runoff required """,_ _,- _,yo 15,_,_,__,68 14,,,_ --,3 0,,,,8 1,
Consent elections .... ......... ..,20,2,0,18,17,2,0,15,2,0,0,2,1,0,0,1
Rerun required Runoff required . _,,- _,0 0,- _,- _,- _,0 0,,,,0 0,,,,0 0,
Stipulated elections . ....... ......,3108,65,76,2967,2609,61,66,2482,49,0,1,48,450,4,9,437
Rerun required Runoff required.,_ -,_ -,64 12,_ -,_ -,_ -,55 it,,.___,_-,1 0,,,,8 I,
Regional Director-directed,613,19,17,577,547,17,16,514,9,0,1,8,57,2,0,55
Rerun required Runoff required .,,,_ 14 3,,,,13 3,,,,1 0,,,,0 0,
Board-directed..,9,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0
Rerun required Runoff required.,,,0 0,,,,0 0,,,,0 0,,,,0 0,
Expedited-Sec. 8(bX7XC),2,0,1,1,0,0,0,0,2,0,I,1,0,0,0,0
Rerun required Runoff required,,,I 0,,,,0 0,,,,1 0,,,,0 0,
