Industrial group,Number of elections / Total,Number of elections / In which representation rights were won by — A.F.L. affiliates,Number of elections / C.I.O. affiliates,Number of elections / Unaffiliated unions,Number of elections / In which no representative was chosen,Eligible voters,Valid votes cast
Total,4663,1925,780,355,1603,511430,449673
Manufacturing,3100,1154,640,264,1042,404779,360851
Ordnance and accessories,31,13,9,5,4,4497,3903
Food and kindred products,448,220,55,30,143,35590,30265
Tobacco manufactures,7,4,1,0,2,1346,1180
Textile mill products,87,16,22,9,40,23649,21450
Apparel and other finished products made from fabrics and similar materials,102,35,35,7,25,12133,10862
Lumber and wood products,118,43,22,4,49,9830,8573
Furniture and fixtures,103,30,23,4,29,10603,9543
Paper and allied products,125,54,21,7,25,12498,11103
"Printing, publishing, and allied industries",123,57,21,9,36,3497,3166
Chemicals and allied products,223,88,38,18,79,27254,24802
Products of petroleum and coal,49,19,14,0,16,5743,5330
Rubber products,32,6,13,2,11,6167,5595
Leather and leather products,44,13,9,1,22,8565,8780
"Stone, clay, and glass products",101,47,19,4,28,6927,6109
Primary metal industries,116,60,25,4,32,11000,9927
Fabricated metal products (except machinery and transportation equipment),168,58,37,20,107,19684,17675
Machinery (except electrical),318,124,67,20,107,21771,19878
"Electrical machinery, equipment, and supplies",400,131,86,43,138,65997,58594
Transportation equipment,205,59,55,15,76,35970,31404
Aircraft and parts,81,24,15,9,33,17002,15860
Ship and boat building and repairing,23,10,2,0,11,3575,2512
Automotive and other transportation equipment,101,25,38,6,32,15235,13234
"Professional, scientific, and controlling instruments",46,14,13,5,14,7613,6738
Miscellaneous manufacturing,154,58,26,11,59,13952,12461
Fisheries,1,0,0,0,1,1330,935
Mining,59,17,13,7,22,13639,11055
Construction,50,11,0,16,23,2446,2322
Wholesale trade,409,200,35,41,198,13553,12061
Retail trade,466,214,41,18,193,39308,33620
"Finance, insurance, and real estate",24,14,1,1,11,3571,3438
"Transportation, communication, and other public utilities",418,216,34,35,133,28371,22448
Services,99,50,6,4,23,2632,2232
