row_label,Number of cases showing specific allegations,Percent of total cases
8(a) Total cases,31281,100.0
8(a)(1),5502,17.7
8(a)(2),349,1.1
8(a)(3),14091,45.1
8(a)(4),281,0.9
8(a)(5),6619,21.2
8(a)(6),290,0.9
8(a)(1)(2),7,0.0
8(a)(1)(3),138,0.4
8(a)(1)(4),828,2.6
8(a)(1)(5),2786,8.9
8(a)(1)(6),22,0.1
8(a)(1)(2)(3),26,0.1
8(a)(1)(3)(4),144,0.5
8(a)(1)(3)(5),7,0.0
8(a)(1)(2)(3)(4),123,0.4
8(a)(1)(2)(3)(4)(5),27,0.1
8(a)(1),31281,100.0
8(a)(2),979,3.1
8(a)(3),18315,58.5
8(a)(4),1231,4.2
8(a)(5),9848,31.5
8(b) Total cases,12563,100.0
8(b)(1),6380,50.8
8(b)(2),200,1.6
8(b)(3),513,4.1
8(b)(4),2987,23.8
8(b)(5),11,0.1
8(b)(6),25,0.2
8(b)(7),600,4.8
8(b)(1)(2),1405,11.2
8(b)(1)(3),324,2.6
B1 — 8(b)(4) Total cases,2987,100.0
B1 — 8(b)(4)(A),217,7.3
B1 — 8(b)(4)(B),2049,68.6
B1 — 8(b)(4)(C),19,0.6
B1 — 8(b)(4)(D),519,17.4
B1 — 8(b)(4)(A)(B),173,5.7
B1 — 8(b)(4)(A)(C),7,0.2
B1 — 8(b)(4)(B)(C),2,0.1
B1 — 8(b)(4)(A)(B)(C),1,0.0
B1 — 8(b)(4)(A),391,13.1
B1 — 8(b)(4)(B),2230,74.7
B1 — 8(b)(4)(C),27,0.9
B1 — 8(b)(4)(D),519,17.4
B2 — 8(b)(7) Total cases,600,100.0
B2 — 8(b)(7)(A),149,24.8
B2 — 8(b)(7)(B),31,5.2
B2 — 8(b)(7)(C),409,68.2
B2 — 8(b)(7)(A)(C),8,1.3
B2 — 8(b)(7)(B)(C),2,0.3
B2 — 8(b)(7)(A)(B),1,0.2
B2 — 8(b)(7)(A),159,26.5
B2 — 8(b)(7)(B),37,6.2
B2 — 8(b)(7)(C),418,69.7
C — 8(e) Total cases,154,100.0
C — Against unions alone,147,95.5
C — Against employers alone,1,0.6
C — Against unions and employers,6,3.9
D — 8(g) Total cases,65,100.0
