Stage / Case type,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 1988 (RC)",2066,1273,527,46,219,,1
Received fiscal 1989 (RC),6376,4227,1588,145,416,,
On docket fiscal 1989 (RC),8442,5500,2115,191,635,,1
Closed fiscal 1989 (RC),6078,3957,1587,118,416,,
"Pending September 30, 1989 (RC)",2364,1543,528,73,219,,1
"Pending October 1, 1988 (RM)",175,,,,,,175
Received fiscal 1989 (RM),310,,,,,,310
On docket fiscal 1989 (RM),485,,,,,,485
Closed fiscal 1989 (RM),312,,,,,,312
"Pending September 30, 1989 (RM)",173,,,,,,173
"Pending October 1, 1988 (RD)",427,3,1,0,2,421,0
Received fiscal 1989 (RD),1222,0,0,1,2,1219,0
On docket fiscal 1989 (RD),1649,3,1,1,4,1640,0
Closed fiscal 1989 (RD),1177,0,0,0,1,1176,0
"Pending September 30, 1989 (RD)",472,3,1,1,3,464,0
