Industrial group,All cases,All C cases,CA,CB,CC,CD,CE,CP,All R cases,RC,RM,RD,Union deauthorization UD,Amendment of certification AC,Unit clarification UC
Mining (subtotal),364,249,145,82,16,4,1,1,113,100,9,4,0,,1
"Transportation, communication, and other utilities (subtotal)",4224,2661,1672,722,158,47,23,39,1516,1317,94,103,17,12,26
Services (subtotal),2892,1531,1086,268,83,17,10,38,1343,1143,116,84,5,1,44
"Total, all industrial groups",33581,21038,13601,4631,1596,694,107,409,12077,10332,979,766,158,107,201
Other detail,various,,,,,,,,,,,,,,
