row_label,Section / Subsection,Total prior cases,"Injunction proceedings — Pending in district court Oct 1, 1987",Injunction proceedings — Filed in district court FY 1988,Total cases,Total dispositions,Dispositions of injunctions — Granted,Dispositions of injunctions — Denied,Dispositions of injunctions — Settled,Dispositions of injunctions — Withdrawn,Dispositions of injunctions — Dismissed,Dispositions of injunctions — Inactive,"Pending in district court Sept 30, 1988"
Under Sec. 10(j) total,19,26,17,33,,22,11,0,0,0,0,3,
Under Sec. 10(l) total,46,14,53,60,,39,1,0,0,3,0,0,5
