Type of case,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All elections,1311,100.0,366,27.9,851,64.9,94,7.2
RC cases,1176,100.0,355,30.2,803,68.3,18,1.5
RM cases,115,100.0,10,8.7,32,27.8,73,63.5
RD cases,20,100.0,1,5.0,16,80.0,3,15.0
