row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",2486,2299,1983,81,235,7
Initial hearings Hearings on objections and/or challenges,"2,180 306","2,017 282","1,731 252",76 5,210 25,7 0
"Decisions issued, total",2129,1936,1669,76,191,6
By regional directors,2016,1831,1579,67,185,6
Elections directed Dismissals on record,"1,800 216","1,627 204","1,409 170",52 15,166 19,4 2
By Board,113,105,90,9,6,0
Transferred by regional directors for initial decision.,31,29,26,1,2,0
Elections directed Dismissals on record,19 12,19 10,17 9,0 1,2 0,0 0
Review of regional directors' decisions Requests for review received,741,644,593,16,35,2
Withdrawn before request ruled upon,1,1,1,0,0,0
"Board action on request ruled upon, total",666,586,540,14,32,1
Granted Denied Remanded,593 3,528 3,493 3,9 0,26 0,1 0
"Board decision after review, total",82,76,64,8,4,0
Regional directors' decisions Affirmed,39,37,29,5,3,0
Modified Reversed,17 26,16 23,16 19,0 3,0 1,0 0
