row_label,Cases in which formal actions taken,Total formal actions taken,CA,CB,CC,CD — Jurisdictional disputes,CD — Unfair labor practices,CE,CG,CP,CA combined with CB,C combined with representation cases,Other C combinations
10(k) notices of hearings issued,39,38,,,,38,,,,,,,
Complaints issued,3703,2284,2006,161,23,,,4,1,4,2,28,44
Backpay specifications issued,166,64,59,2,0,,,0,0,0,0,0,0
"Hearings completed, total",807,388,329,27,4,0,0,0,0,0,8,20,0
"Decisions by administrative law judges, total",776,368,315,23,2,0,0,1,0,0,6,21,0
"Decisions and orders by the Board, total",927,421,335,34,3,14,0,2,0,1,6,26,0
