Division and State,All cases,UNUSED_DETAIL
South Carolina,105,
Virginia,477,
West Virginia,234,
South Atlantic,2885,
Iowa,128,
Kansas,123,
Minnesota,327,
Missouri,596,
Nebraska,12,
North Dakota,60,
South Dakota,15,
West North Central,1261,
Arkansas,120,
Louisiana,322,
Oklahoma,160,
Texas,883,
West South Central,1485,
"Total, All States and areas",25838,
