Participating unions,Valid votes cast: Total,Valid votes cast: For AFL-CIO unions,Valid votes cast: For Teamsters,Valid votes cast: For other national unions,Valid votes cast: For other local unions,Valid votes cast: Against participating union(s) col 7,Valid votes cast: Against participating union(s) col 8,Valid votes cast: Against participating union(s) col 9,Valid votes cast: Against participating union(s) col 10,Valid votes cast: Against participating union(s) col 11
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO (tail of Section A),544,357,357,0,0,0,187,0,0,0
AFL-CIO v. AFL-CIO v. AFL-CIO v. Nat'l,280,280,,,,,,,,
3 (or more)-union elections subtotal (Section A),10129,8371,4895,1743,1634,99,304,253,16,
Total representation elections (grand total Section A),531402,215883,119871,23591,29311,12823,55979,90949,13602,11585
B. ELECTIONS IN RC CASES — AFL-CIO,224455,143170,,,,,81092,85885,85885,105397
Teamsters,53288,34228,,,,,16606,,,24114
Other national unions,65682,13358,,,13353,,7257,12227,9898,1574
Other local unions,9997,3705,,,,3705,1453,,,3260
1-union elections subtotal (RC),370368,94605,61081,16606,13303,3705,40703,80881,12227,9898
2-union and 3-union,,,,,,,,,,
3 (or more)-union elections subtotal (RC),10108,8514,4003,1644,1743,984,304,253,16,740
Total RC elections,502489,182128,30782,28078,32047,51737,87122,61114,12921,11731
