row_label,col_1
"4 Hal 1 ""••",0 g SArm.AMA-000dmddoddooAd.-dddod-dd
1 1 Vil z. i az ml Ti,cr. s MMMMMM M0000*0■0■000m0mmoceompe - .
1011 6 g i' a A 1,"g . .4,-...-IN:An M CitcTic!g22:14;=""""2:.'"
z.g.,"E 2 - Sr,14A4A''°'°2'""-**Pr-vv-PRRRch^v*PAa'"
kikil b,q mmommeio.mm.t.tom!oocho!mooammommoo.too 2 Madrzmmodd-....d.-.ddoodoo-dddoddd.-dd r.
' t ' Zikial,0 crogwanam■mmmO*00mm■OOmm■pm■pomoo ;ra o
HAI 8,.trooqmogooqqq0000qmgromoqr-oqrmo 2 gmddo4doddmooddddo4o.óci4doado.O40 rt -
..... I 0 2 § Z 11 /3,m rm000-0000m0000000-omo..00riooem-o ri
"h tato, V -","g ..riaelmdmOddwioNoodddcidvielde4ddoo.io,4 :4 •`- 42.1...nyol-.o00.t0r0000pooanor0000aon"
1111,ir . comM■m0■00010■0000000.4■0■0000mom m ■
kokil e,Ometmeomm000mmmmOcr!*mmOnvmmOm00mOm q g ti.dr-AAMAddoridddd--doOM-4dOciddddcid
il Ai .,* g ...... mmov■m■Ovm■■40mmmm0■00■Com ;71 en •-•
kikti 8,g g;:.:ign;igg'RgNi002g;q2sq;ggg*2- ' ._
z.gla,m gAsrAg8.-*N■gmm■maomM00g0mm■*00m00 m m■
"kik""! 6","g 7 7;°45;;74:"" . nnn-n0°'2g:Valg""qS:12-i ...,"
ivil Z 1.....,"R '*XmRVIRgW.IA55,1n22AA0.gAmaragsp,R4 - ....4 N---- M ... M■.... . es cn .8 _."
6 na v a,"-............,.......'.q...,. g Am mr4.A.44MAN-140..cidAodddd....dei...d"
r 6 bi zlaw,"0 Iii5M""R g2 ""-"" m """"i""""An-A P; .. . -. ...- a. .f.:..7.: ■"
li RH,"mcomai*■0m■■0*■*0.-,1nri,141m I 04* . 4450,C7A4`4t$ g 00`41=P g ggSgg"
1 .t • . q 0 ke 2 'il ',"mmna!* ... oe0 ..... mmnyeit-wo...-...y..1-:m 4a,dam4AA-. vd.4dd.jciddd.iMriri.40-.o4.-.0 """
§ eaVil .7 ar rx,"LIE*17,Maiwrav .. - .....,.,w1me4ra*N m40.0R 11.1m;Rgagvim-vmagmmsorg er-: • - 7 .; .4'.. ..7"
,"A 2 Fp S'ARTIRSPgittMtEtt-77.,f gmm a a;"
