Status of cases,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 1982 (RC)",2088,1247,458,152,222,9,
Received fiscal 1983 (RC),5410,2963,1521,354,561,11,
On docket fiscal 1983 (RC),7498,4210,1979,506,783,20,
Closed fiscal 1983 (RC),5209,2846,1460,360,529,14,
"Pending September 30, 1983 (RC)",2289,1364,519,146,254,6,
"Pending October 1, 1982 (RM)",225,,,,,,225
Received fiscal 1983 (RM),764,,,,,,764
On docket fiscal 1983 (RM),989,,,,,,989
Closed fiscal 1983 (RM),718,,,,,,718
"Pending September 30, 1983 (RM)",271,,,,,,271
"Pending October 1, 1982 (RD)",526,10,2,0,0,514,
Received fiscal 1983 (RD),1904,3,2,1,8,1890,
On docket fiscal 1983 (RD),2430,13,4,1,8,2404,
Closed fiscal 1983 (RD),1881,7,2,1,6,1865,
"Pending September 30, 1983 (RD)",549,6,2,0,2,539,
