Month,Cases received / Number / All cases,Cases received / Number / Unfair labor practice cases,Cases received / Number / Representation cases,Cases received / Percent of total / Unfair labor practice cases,Cases received / Percent of total / Representation cases,Cases received / Workers involved / Unfair labor practice cases,Cases received / Workers involved / Representation cases
Total,9176,2573,6603,28.0,72.0,4379592,2171394
July,816,249,567,30.5,69.5,578318,214672
August,812,231,581,28.4,71.6,394421,312376
September,823,234,589,28.4,71.6,485320,231025
October,766,199,567,26.0,74.0,296816,168709
November,708,200,508,28.2,71.8,224897,160713
December,687,194,493,28.2,71.8,312594,141890
January,699,185,514,28.5,73.5,285255,133548
February,776,222,554,28.6,71.4,308449,135312
March,799,252,547,31.5,68.5,381323,183007
April,700,222,478,31.7,68.3,526016,148078
May,767,170,597,22.2,77.8,316718,176501
June,823,215,608,26.1,73.9,169115,165563
