row_label,Number of — / Cases,Number of — / Workers involved,Percentage of — / Total cases,Percentage of — / Cases closed
"Cases pending June 30, 1936",330,96553,7.5,
"Cases received July 1, 1936-June 30, 1937",4068,1398282,92.5,
Total cases handled,4398,1494835,100.0,
Before formal action: By settlement,1429,325898,32.5,60.9
Before formal action: By withdrawal of charge or petition,539,73040,12.2,22.9
Before formal action: By dismissal of petition or refusal to issue complaint,254,37355,5.7,10.8
Before formal action: By transfer to other agencies,13,3486,.3,.5
