Method and stage of disposition,Fiscal year 1943 / Number of cases,Fiscal year 1943 / Percent of cases closed,Fiscal year 1943 / Percent of cases on docket,Fiscal year 1942 / Number of cases,Fiscal year 1942 / Percent of cases closed,Fiscal year 1942 / Percent of cases on docket,Fiscal year 1941 / Number of cases,Fiscal year 1941 / Percent of cases closed,Fiscal year 1941 / Percent of cases on docket,Fiscal year 1940 / Number of cases,Fiscal year 1940 / Percent of cases closed,Fiscal year 1940 / Percent of cases on docket
"Dismissed, total",534,9.0,7.4,636,10.1,8.6,424,11.4,8.3,489,18.2,14.2
Before hearing,307,5.2,4.2,432,6.9,5.8,281,7.6,5.5,316,11.8,9.2
"By Board Order, without election",98,1.6,1.4,102,1.6,1.4,75,2.0,1.5,106,3.9,3.1
"By Board Order, following directed election",129,2.2,1.8,102,1.6,1.4,68,1.8,1.3,67,2.5,1.9
Otherwise,3,.1,.0,2,.0,.0,3,.1,.1,3,.1,.1
