Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed,CE cases 1 / Number of cases,CE cases 1 / Percent of cases closed,CP cases 1 / Number of cases,CP cases 1 / Percent of cases closed
Total number of cases closed,11924,100.0,7924,100.0,2957,100.0,651,100.0,193,100.0,15,100.0,184,100.0
Before issuance of complaint,10330,86.5,6970,87.2,2514,85.0,509,78.1,185,95.9,15,100.0,177,96.2
"After issuance of complaint, before opening of hearing",767,6.4,492,6.2,204,6.9,62,9.5,2,1.0,0,.0,7,3.8
"After hearing opened, before issuance of intermediate report",185,1.6,118,1.5,41,1.4,22,3.4,4,2.1,0,.0,0,.0
"After intermediate report, before issuance of Board decision",116,1.0,81,1.0,32,1.1,3,.5,0,.0,0,.0,0,.0
Method,,,,,,,,,,,,,,
