Division and State,All cases,All ULP cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
New England — Maine,162,147,102,41,2,0,0,2,0,11,10,1,0,0,0,3
New England — Massachusetts,1265,1100,823,217,39,18,0,3,0,142,114,9,19,12,0,13
New England — Connecticut,685,607,490,110,5,1,0,0,0,74,62,4,8,1,0,3
New England TOTAL,2392,2090,1613,399,55,22,0,5,0,257,215,15,37,14,0,31
Middle Atlantic — New York,4260,3750,2778,709,147,37,3,7,26,467,407,26,55,12,0,31
Middle Atlantic — Pennsylvania,2706,2318,1682,513,59,45,1,1,9,339,278,12,49,19,0,14
Middle Atlantic TOTAL,8028,7067,5043,1599,197,145,9,11,63,859,725,39,95,30,0,54
East North Central TOTAL,8920,,,,,,,,,,,,,,,
