Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
New England (division total),2374,1931,1397,,,,,,,304,233,,62,,,
Mid-Atlantic (division total — NY + NJ + PA),8240,6481,4254,1720,364,,,,,1461,1059,49,184,,,69
East North Central (division total — OH + IN + IL + MI + WI),9601,7335,5355,1720,364,,,,,1731,1330,55,310,,,71
West North Central (division total — MN + IA + MO + ND + SD + NE + KS),3179,2366,,,,,,,,761,,23,126,,,
