Status,Number of cases — Total,Number of cases — Identification of petitioner — Employer,Number of cases — Identification of petitioner — Union,Number of cases — Identification of petitioner — Courts,Number of cases — Identification of petitioner — State boards
"Pending October 1, 1991",0,0,0,0,0
Received fiscal 1992,10,9,1,0,0
On docket fiscal 1992,10,9,1,0,0
Closed fiscal 1992,10,9,1,0,0
"Pending September 30, 1992",0,0,0,0,0
