row_label,Total,Number of cases / Identification of petitioner / Employer,Union,Courts,State boards
"Pending July 1, 1976",1,1,0,0,0
Received 19TQ,3,3,0,0,0
On docket 19TQ,4,4,0,0,0
Closed 19TQ,0,0,0,0,0
"Pending Sept. 30, 1976",4,4,0,0,0
