row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,3770,156,41,121,3.2,39,10,195,5.2,160,4.2
By type of case,,,,,,,,,,,
In RC cases •,3152,136,4.3,105,3.3,37,1.2,173,5.5,142,4.5
In RMcases,72,2,2.8,6,8.3,I,1.4,3,4.2,7,9.7
In RD cases ..,546,18,3.3,10,1.8,1,0.2,19,3.5,11,2.0
By type of election,,,,,,,,,,,
Consent elections .. ...... .......... . ... ... .....,30,2,6.7,0,,0,,2,67,0,
Stipulated elections,3171,105,3.3,93,29,24,0.8,129,41,117,37
Expedited elections,2,0,,0,,0,,0,,0,
Regional Director-directed elections,565,49,8.7,28,50,15,27,64,11.3,43,7.6
Board-directed elections,2,o,,o,,o,,o,,o,
