Industrial group,Col1 (likely Total cases),Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14
Mining — Metal mining,92,8,,,,,,,,,,,,
Mining — Coal mining,420,316,,,,,,,,,,,,
Wholesale trade,4288,2560,,,,,,,,,,,,
Services,3500,2160,1367,,,,,,,,,,,
"Total, all industrial groups",37212,23770,15467,,,,,,,,,,,
