row_label,Category,Number
Total Board decisions,Total Board decisions,1179
Contested decisions,Contested decisions,732
Unfair labor practice decisions,Unfair labor practice decisions,521
Initial (includes those based on stipulated record),Initial (includes those based on stipulated record),434
Supplemental,Supplemental,24
Backpay,Backpay,47
Determinations in jurisdictional disputes,Determinations in jurisdictional disputes,16
