row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,119929,25874,25874,,,,12418,27392,27392,,,,54245
Teamsters,35873,6737,,6737,,,3216,8025,,8025,,,17895
Other national unions,4661,683,,,683,,257,1294,,,1294,,2427
Other local unions,8361,2854,,,,2854,1043,1441,,,,1441,3023
1-union elections,168824,36148,25874,6737,683,2854,16934,38152,27392,8025,1294,1441,77590
AFL-CIO v AFL-CIO AFL-CIO v Teamsters,"5,049 3,000","1,752 1,974","1,752 601","- 1,373",,,304 206,952 280,94,186,,,540
AFL-CIO v National,2135,1292,725,,567,,36,229,181,,48,,578
AFL-CIO v Local,3992,3263,1585,,,1678,170,170,40,,,130,389
Teamsters v National,376,266,,147,119,,1,23,,11,12,,86
Teamsters v Local,536,360,,273,,87,26,23,,2,,21,127
Teamsters v Teamsters,93,0,,0,,,0,33,,33,,,60
National v Local,230,200,,,69,131,0,10,,,10,0,20
,1905,1693,,,,1693,89,31,,,,31,92
Local v Local,17316,10800,4663,1793,755,3589,832,1751,1267,232,70,182,3933
2-union elections,,100,95,,,,19,185,9,176,,,553
AFL-CIO v AFL-CIO v Teamsters,857 49,43,0,5 0,,- 43,6,o,o,o,,o,o
AFL-CIO v Teamsters v Local AFL-CIO v Local v Local,140,138,3,,,135,2,0,0,,,0,o
3 (or more)-union elections,1046,281,98,5,0,178,27,185,9,176,0,0,553
Total RC elections,187186,47229,30635,8535,1438,6621,17793,40088,28668,8433,1364,1623,82076
