row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — AFL-CIO,Valid votes cast in elections won — Teamsters,Valid votes cast in elections won — Other national,Valid votes cast in elections won — Other local,Valid votes for no union (in elections won),Valid votes in elections lost — Total,Valid votes in elections lost — AFL-CIO,Valid votes in elections lost — Teamsters,Valid votes in elections lost — Other national,Valid votes in elections lost — Other local,Valid votes for no union (in elections lost)
Section A tail — 3+-union affiliation-triple,,,,,,,,,,,,,,
B. ELECTIONS IN RC CASES — section header,,,,,,,,,,,,,,
Total RC elections,498845,212408,145331,27170,20058,19469,68263,79192,64074,11178,3430,512,138892,
1-union elections (subtotal),391587,123447,100823,17152,5341,2229,62176,73540,59335,10610,3066,499,130419,
2-union elections (subtotal),99741,81225,40793,9624,14417,16191,5442,5174,4282,566,313,13,7900,
RC affiliation-pair and affiliation-triple,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),7522,5929,3715,424,298,1119,645,478,457,,21,0,573,
