row_label,col_1,col_2,col_3
16-C-1530,"Abercrombie, J. S., Co.",20-C-1566,Califruit Canning Co.
13-C-2483,Agar Packing & Provi- sion Corp.,13-C-2799,Carnegie-Illinois Steel Corp.
14-C-1238,Alder Metal Products Corp.,10-C-2219,"Cedartown Yarn Mills, Inc."
10-C-1811,Aldora Mills.,217C-2505,Columbia Pictures.
5-C-1976,"Allen Morrison Sign Co., Inc.",17-C-1405,Columbian Carbon Co. Cookersville Shirt Co.
2-C-5963,"American Book-Strat- ford Press, Inc.",10-C-1942 15M-C-1220,"Cuff man Lumber Co., Inc., The."
7-C-1799,American District Tele- graph Co.,10-C-2179,Dalton Telephone Co.
15-C-1175,"Amory Garment Co., Inc.",13-C-2943,"Dearborn Glass Co. Deere, John, Plow Co."
15M-C-1217,"Artcraft Hosiery Co., Inc.",10-C-1963 17-C-1415,"Des Moines Springfield & Southern Route,"
21-C-2735,"Association of Motion Picture Producers, Inc.",7-C-1303,The. Detroit Gasket & Man- ufacturing Co.
10-C-1940,Atlanta Broadcasting Co.,10-C-1538,Dixie Manufacturing Co.
10-C-1772,Atlantic Ice & Coal Co.,10-C-1906,"Dixie Shirt Co., Inc."
10-C-1893,"Atlantic Stages, J. A. Booker d/b/a.",2-C-6533,"Don Juan, Inc. Dorsey Trailers, Inc"
13-C-3110,Autopart Manufactur- ing Co.,15-C-1315 2-C-6509,Duro Test Corp.
14-C-1264,Auto Stove Works.,2-C-5751,"E. A. Laboratories', Inc. Eastern Coal Corp."
7-C-1405,Barton Brass Works & Precision Machined Part Co.,9-C-2133 8-C-2014,"Efficient Tool & Die Co., The."
1-C-2790,"Bean, D. D., & Sons.",13-C-3058,"Electric Autolite Co., The."
15-C-1210,"Bentley, J. A., Lumber Co.",4-C-1624,Electric City Dyeing Co.
2-C-6055,"Bergen Point Iron Works, a Corp.",10-C-2082,Empire Box Corp.
10-C-1995,"Bibb Manufacturing Co., Plant No. 1.",4-C-1609,Fogel Refrigerator Co.
13-C-2757,"Bingham's Samuel, Sons Manufacturing Co.",16-C-1226 4-C-1837,"Fort Worth Transit Co. Franklin Hosiery Mills, Inc."
17-C-1479,Boss Manufacturing Co.,17D-C-1477,Fulton Bag & Cotton
2-C-6876,"Brooklyn Corset Co., Inc.",,Mills.
7-C-1611 10-C-1923,Burnette Casting Co. Burns Brick Co.,2-C-6517 10-C-2267,"General Electric Corp. Gluck Bros., Inc."
