Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,33946,100.0,23726,100.0,8444,100.0,1090,100.0,288,100.0,51,100.0,38,100.0,309,100.0
Agreement of the parties,9667,28.5,7519,31.6,1491,17.6,527,48.3,2,0.6,13,25.4,15,39.4,100,32.3
Informal settlement,9464,27.9,7376,31.0,1470,17.4,506,46.4,2,0.6,13,25.4,11,28.9,91,29.4
Formal settlement,203,0.6,143,0.6,21,0.2,21,1.9,0,0,0,0,4,10.5,9,2.9
Compliance with,1037,3.1,829,3.4,149,1.7,28,2.5,13,4.5,1,1.9,1,2.6,16,5.1
Detail,,,,,,,,,,,,,,,,
