Size of establishment (number of employees),Total — Number employed in establishment,Total — Cumulative number of situations,Total — Percent of total situations,Total — Number of situations (per type) — Percent by class,Type of situations — CA — Number of situations,Type of situations — CB — Number of situations,Type of situations — CC — Number of situations,Type of situations — CD — Number of situations,Type of situations — CE — Number of situations,Type of situations — CG — Number of situations,Type of situations — CP — Number of situations,Type of situations — CA-CB combinations — Number of situations,Type of situations — Other C combinations — Number of situations
Totals — all sizes,730925,3884,12.6,100.0,22520,6801,643,193,50,35,111,856,37
Under 10 employees,3884,12.6,8.14,29.7,181,60,12,20,7,0,27,51,11
