Method and stage of disposition,All C cases Number,All C cases Percent of total method,All C cases Percent of total closed,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Adopting administrative law judge's decision (no exceptions filed),169,0.4,13.4,137,0.5,15,0.2,9,0.5,,,1,0.7,2,,3,0.6
Contested,607,1.6,48.3,538,2.1,71,0.8,8,0.4,,,1,0.7,5,,7,1.5
Circuit court of appeals decree,385,1.1,30.6,322,1.3,26,0.3,,,,,0,,,,3,0.6
Supreme Court decision,88,0.2,7.0,29,0.1,2,,1,0.1,,,,,,,1,0.2
Withdrawal,12781,34.0,100.0,8606,33.9,3261,35.2,650,33.9,0,,2,0.5,48,34.8,174,37.2
Withdrawal: Before issuance of complaint,12202,32.5,95.5,8109,31.9,3154,34.0,627,32.6,0,,2,,43,,172,
Withdrawal sub-stages (catch-all),,,,,,,,,,,,,,,,,
Dismissal,13931,37.0,100.0,9159,36.0,4194,45.4,375,19.3,0,,23,33,27,24.5,140,29.9
Dismissal sub-stages (catch-all),,,,,,,,,,,,,,,,,
10 (k) actions (see table 1 for details of disposition),457,1.2,,,,,,,,457,96.3,,,,,,
Otherwise (compliance with order of administrative law judge or Board not achieved -- firm went out of business),9,,,,,,,,,,,,,,,,
