row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO v. AFL-CIO v. Local........,1,100.0,1,1,,0,0,2205,2205,2205,,0,0
AFL-CIO v. AFL-CIO v. National v. Local..................................................,1,100.0,1,0,0,1,0,92,92,0,0,92,0
AFL-CIO v. National v. National......,1,100.0,1,0,1,,0,49,49,0,49,,0
Local v. Local v. Local......................,1,100.0,1,,,1,0,47,47,,,47,0
3 (or more)-union elections..........,10,100.0,10,1,6,3,0,2631,2631,2205,240,186,0
Total RC elections........................,1746,60.9,1063,502,480,81,683,121501,67566,24842,34523,8201,53935
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO,24,37.5,9,9,,,15,1510,376,376,,,1134
Other national unions........................,13,15.4,2,,2,,11,1539,29,,29,,1510
1-union elections..........................,37,29.7,11,9,2,0,26,3049,405,376,29,0,2644
National v. Local..............................,1,100.0,1,,1,0,0,5,5,,5,0,0
AFL-CIO v. National........................,1,100.0,1,0,1,,0,95,95,0,95,,0
2-union elections..........................,2,100.0,2,0,2,0,0,100,100,0,100,0,0
National v. National v. National v. National..............................................,2,100.0,2,,2,,0,148,148,,148,,0
3 (or more)-union elections..........,2,100.0,2,0,2,0,0,148,148,0,148,0,0
Total RMelections........................,41,36.6,15,9,6,0,26,3297,653,376,277,0,2644
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
Other national unions,187,32.6,61,,61,,126,13001,7588,,7588,,5413
Other local unions..............................,15,40.0,6,,,6,9,929,699,,,699,230
