Category,Objections filed,Objections withdrawn,Objections ruled upon,Overruled — Number,Overruled — Percent of total ruled upon,Sustained — Number,Sustained — Percent of total ruled upon
All representation elections,1138,230,908,717,79.0,191,21.0
By type of case — RC cases,1050,215,835,656,78.6,179,21.4
By type of case — RM cases,49,10,39,31,79.5,8,20.5
By type of case — RD cases,39,5,34,30,88.2,4,11.8
By type of election — Consent elections,106,31,75,55,73.3,20,26.7
By type of election — Stipulated elections,712,152,560,441,78.8,119,21.2
By type of election — Expedited elections,7,2,5,5,100.0,0,0
By type of election — Regional director-directed elections,301,45,256,207,80.9,49,19.1
By type of election — Board-directed elections,12,0,12,9,75.0,3,25.0
