row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Total number of cases closed,32855,100 0,23537,100.0,7996,100.0,861,100 0,217,100.0,46,100.0,38,loao,160,loao
Before Issuance of complaint,28204,86.0,19780,840,7393,924,614,71.3,212,97.7,39,84.8,31,816,134,83.8
"After issuance of complaint, before opening of hearing",3345,102,2689,11.4,417,5.2,201,23.3,2,0.9,4,8.7,6,15.8,26,163
"After hearing opened, before Issuance of administrative law judge's decision After administrative law judge's decision, before issuance of Board",178,0.5,163,07,13,0.2,2,0.2,o,,o,,o,,o,
decision .,73,02,60,03,3,0.0,10,1.2,o,,o,,o,,o,
After Board order adopting administrative law judge's decision in absence of exceptions .. .. . ....... .... . ...... ........... ... ..,206,0.6,178,07,23,0.3,4,0.5,1,0.5,I,22,o,,o,
"After Board decision, before circuit court decree ..... ........... . .. .",396,1.2,317,1.3,57,0.7,18,2.1,1,04,2,43,1,2.6,0,
"After circuit court decree, before Supreme Court action ... ........... ....",283,10,197,1 0,84,1.1,2,0.2 •,0,,o,,o,,o,
After Supreme Court action,5,0.0,5,0.0,o,,o,,o,,o,,o,,o,
Otherwise,165,0.5,145,06,5,0.0,13,II,2,09,o,,o,,o,
