Category,Total — Number,Total — Percent by type,By employer — Number,By employer — Percent by type,By union — Number,By union — Percent by type,By both parties — Number,By both parties — Percent by type
All representation elections,1138,100.0,422,37.1,687,60.4,29,2.5
By type of case — RC cases,1050,100.0,400,38.1,626,59.6,24,2.3
By type of case — RM cases,49,100.0,15,30.6,32,65.3,2,4.1
By type of case — RD cases,39,100.0,7,17.9,29,74.4,3,7.7
By type of election — Consent elections,106,100.0,41,38.7,62,58.5,3,2.8
By type of election — Stipulated elections,712,100.0,260,36.5,440,61.8,12,1.7
By type of election — Expedited elections,7,100.0,2,28.6,4,57.1,1,14.3
By type of election — Regional director-directed elections,301,100.0,116,38.5,172,57.2,13,4.3
By type of election — Board-directed elections,12,100.0,3,25.0,9,75.0,0,0
