Standard Federal Region,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-deauthorization cases (UD),Amendment-of-certification cases (AC),Unit-clarification cases (UC)
Region I (Boston) — subtotal,2599,2167,1703,403,39,13,4,0,7,306,229,10,57,7,1,18
Region II (New York) — subtotal,6669,5607,3725,1602,166,60,11,0,5,952,792,33,127,28,7,60
Region III (Philadelphia) — subtotal,2328,2234,1604,471,147,26,7,0,12,640,531,16,93,17,2,37
Region IV (Atlanta) — subtotal (partial; below crop),5110,4414,3225,1030,,,,,,,,,,,,
