Action taken,Total all,Employer — Total,Employer — Pursuant to — Agreement of parties — Informal settlement,Employer — Pursuant to — Agreement of parties — Formal settlement,Employer — Pursuant to — Recommendation of administrative law judge,Employer — Pursuant to — Order of — Board,Employer — Pursuant to — Order of — Court,Union — Total,Union — Pursuant to — Agreement of parties — Informal settlement,Union — Pursuant to — Agreement of parties — Formal settlement,Union — Pursuant to — Recommendation of administrative law judge,Union — Pursuant to — Order of — Board,Union — Pursuant to — Order of — Court
"B. By number of employees affected: Employees offered reinstatement, total",2926,2926,2483,0,125,75,243,,,,,,
Accepted,2423,2423,2201,0,75,53,94,,,,,,
Declined,503,503,282,0,50,22,149,,,,,,
Employees placed on preferential hiring list,193,193,114,21,40,8,10,,,,,,
Hiring hall rights restored,15,,,,,,,15,13,0,0,2,0
Objections to employment withdrawn,14,,,,,,,14,6,0,0,0,8
Employees receiving backpay: From either employer or union,30199,26824,22607,38,1041,401,2737,3375,2802,0,19,6,548
Employees receiving backpay: From both employer and union,19,18,18,0,0,0,0,1,1,0,0,0,0
"Employees reimbursed for fees, dues, and fines: From either employer or union",842,367,367,0,0,0,0,475,467,1,0,0,7
"Employees reimbursed for fees, dues, and fines: From both employer and union",1257,876,197,8,0,4,667,381,381,0,0,0,0
