row_label,col_1,col_2
Total number of cases closed before issuance of complaint,884,100.0
Agreement of the parties-informal settlement*,364,54.8
"Before 10(k) notice After 10(k) notice, before opening of 10(k) hearing",330,49.7 5.0
"After opening of 10(k) hearing, before issuance of Board decision and deter- mination of dispute",1,0.1
Compliance with Board decision and determination of dispute,so,4.5
Withdrawal',213,32.1
"Before 10(k) notice After 10(k) notice, before opening of 10(k) hearIng After opening of 10(k) hearing, before issuance of Board decision and deter-",196,29.5 1.2
mination of dispute,0,
After Board decision and determination of dispute,9,1.4
Dismissal',57,8.6
"Before 10(k) notice After 10(k) notice, before opening of 10(k) heating",52 0,7.8
"After opening of 10(k) hearing, before issuance of Board decision and deter- mination of dispute By Board decision and determination of dispute",0 a,0.8
