row_label,col_1,col_2
BI Analysis of 8(6)(4),BI Analysis of 8(6)(4),BI Analysis of 8(6)(4)
Total caws 8(654),1504,100 0
8(b)(4)(A),109,72
8(6)(4)(B),1.005,66 8
8(6)(45C),21,IS
8(6)(4)(D),298,198
8(b)(4)(A5(11,61,4!
816)(4)(A1(C),1,01
8(6)(4)(11)(C),2,01
i1(b)(4)(A)(B)(C),5,04
',','
8(b)(4)(A),176,II 7
8(6)(4)(13),1073,713
8(6)(4)(C),11,21
8(b)(4)(D),298,198
132 Analysis of 8(6)(7),132 Analysis of 8(6)(7),132 Analysis of 8(6)(7)
Total cases 8(6)(7),259,1040
8(657)(A),77,297
8(6)(7)(13),20,77
8(6((7)(C),160,618
8(b)(7)(11)(C),2,08
',','
8(b)(7)(A),77,29 7
8(657)113),22,85
8(6)(7)(C),162,62 5
"C Charge, filLd undcr scc 8(c)","C Charge, filLd undcr scc 8(c)","C Charge, filLd undcr scc 8(c)"
Total casts 8(c),67,1040
Against unions alone,63,940
Against cmployers alone,,60
Against unions and employers,0,
D Chargcs filcd undcr uc 8(g),D Chargcs filcd undcr uc 8(g),D Chargcs filcd undcr uc 8(g)
Total casts 8(g),25,1040
