row_label,col_1
All Cases,Rerun Results.......................11E Ruled on...............................11B
Received-Closed-Pending............... 1,Size of units.............................17
Distribution of Intake :,Types of Elections .........................11
by Industry ................................5,Union-Shop Deauthorization
"Geographic.........................6A,B",Polls Results of ..............................12 Valid Votes Cast............................14
Court Litigation,Unfair Labor Practice Cases
Miscellaneous Litigation ...............21 Representation and Union,by Method.................................7 by Stage.....................................8
Injunction Litigation ......................20 Deauthorization Cases General,Disposition :
,Jurisdictional Dispute Cases (Before Complaint) ................7A Remedial Actions Taken..................4
,Size of Establishment (Number of
"Received-Closed-Pending..........1,1B Disposition:",Employees)..........18
by Method...............................10 by Stage.....................................9,Processing Time ............................23
Formal Action Taken....................3B,Amendment of Certification and
Processing Time ............................23,
,Unit Clarification Cases
Elections Final Outcome ...............................13,Received-Closed-Pending................1 Disposition by Method ...............10A Formal Actions Taken ..................3C
"Geographic Distribution .........15A,B Industrial Distribution....................16",
,Advisory Opinions
Objections/Challenges:,
Disposition...........................11D,Disposition by Method
Party Filing ..........................11C,
,...............22A
Elections Conducted,
,............11A
,Received-Closed-Pending..............22
