row_label,col_1,col_2,col_3
Cases on docket during the year,5136,,100 0
Total number of cases closed,2911,100 0,56 7
"Before formal action, total",2641,90 7,51.4
Adjusted,579,19 9,11 3
Withdrawn,1661,17.1,32.3
Dismissed,397,13 6,7 7
Closed otherwise,4,• 0 1,0 1
"( After formal action, total '",270,9 3,5 3
' Before hearing,18,0 6,0.4
Adjusted,12,0.4,0.2
Withdrawn •,3,0 1,0 1
. Dismissed,3,0 1,0 1
After hearing,43,1 5,0 8
Adjusted,3,0 1,0 1
Compliance with Intermediate Report,22,0 8,0 4
Withdrawn,11,0.4,0 2
Dismissed,7,0.2,0 1
After Board decision,101,3 5,2.0
Coniplianco,70,2 4,1.4
Dismissed,4,0 2,0 1
Closed otherwise,27,0 9,0 5
After court action,108,3.7,2.1
,54,1 9,1.1
Compliance with consent decree Compliance with court order Dismissed •,53 1,1 8 (9,1 0 (Si)
