Standard Federal Region/State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
New Mexico,186,155,135,20,0,0,0,0,0,30,26,0,4,0,1,0
Oklahoma,195,165,119,45,1,0,0,0,0,29,19,0,10,0,1,0
Texas,1195,1091,809,222,0,0,0,0,0,94,70,1,19,0,0,0
Region VI,2027,1810,1428,381,1,0,0,0,0,208,161,2,45,2,0,7
California,3954,3326,2413,803,71,18,6,0,15,596,494,8,94,16,0,16
Region IX,4873,3393,3052,79,21,7,1,18,16,742,605,15,122,18,1,22
"Total, all States and areas",33676,28761,21742,6209,482,162,8,23,100,4639,3708,130,801,107,11,159
