row_label,Amount
Personnel compensation,12491307
Personnel benefits,1241085
Travel and transportation of persons,786103
Transportation of things,18619
"Rent, communications, and utilities",2276553
Printing and reproduction,144929
Other services,1112264
Supplies and materials,314813
Equipment,144920
Insurance claims and indemnities,11589
Total obligations and expenditures,18542182
