row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Teamsters,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Teamsters,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Total votes for no union
Total representation elections (top-of-page summary anchor — match p0212 table totals),181308,,,,,,,,,,,,,
1-union RC elections (subtotal),124207,32706,20365,5000,1150,5335,14288,20463,12538,5003,716,1973,55030,
2-union RC elections (subtotal),15882,12224,4964,1515,1914,4720,754,1061,499,103,70,388,2597,
3 (or more)-union RC elections (subtotal),2171,2155,922,43,67,1123,16,0,0,0,0,0,0,
Total RC elections (RC GRAND TOTAL — votes),142360,47694,26389,7545,1556,11138,15158,19058,13138,292,35,2716,57627,
