row_label,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes for no union,Eligible employees in unions winning representation
Pacific (regional subtotal),834,364,219,76,21,48,470,42192,35602,16180,10382,3200,888,1680,18882,13730
Outlying areas (regional subtotal),48,33,22,7,0,4,15,3398,2834,594,166,51,1,1523,680,685
"Total, all States and areas",4247,1857,1099,473,51,215,2390,254626,220649,103282,65196,15996,5761,14771,120367,86439
