row_label,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of eligible employees to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no representation,Eligible employees represented by unions choosing representation
Nevada,78,6,4,2,0,0,9,2317,2012,428,330,50,51,0,1584,107
Mountain,199,74,47,22,0,0,125,10202,8986,3438,2369,525,355,189,5548,2754
Washington,164,51,32,12,2,5,113,5141,4508,2116,1455,327,77,263,2410,2640
Oregon,79,32,17,10,3,2,47,2504,2070,785,419,131,41,67,1285,879
California,571,210,151,33,9,20,305,23256,20357,9994,5956,2944,290,804,10363,10508
Alaska,31,15,11,4,0,0,16,743,657,271,186,76,9,0,318,314
Hawaii,30,13,4,2,0,7,17,1050,715,417,20,1,77,318,446,418
Guam,3,1,1,0,0,0,2,2,1701,1543,426,390,0,0,1135,112
Pacific,804,322,177,101,16,32,482,34990,29607,14318,8607,3781,473,1457,15289,15520
Puerto Rico,54,23,10,2,2,19,23,3876,3170,1496,543,65,61,827,1674,2674
Virgin Islands,2,2,1,1,0,0,0,0,669,543,3839,2332,664,88,333,0
Outlying Areas,56,32,10,1,2,19,24,4375,3847,2333,664,88,333,1248,1514,2674
"Total, all States and areas",4614,1956,1188,528,44,196,2658,254220,224116,102715,70650,19590,4257,8218,121401,91161
