Division and State,Total,Number of elections in which representation rights were won by AFL-CIO affiliates,Number of elections in which representation rights were won by Unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for AFL-CIO affiliates,Valid votes cast for Unaffiliated unions,Valid votes cast for No union,Employees in units choosing representation
Florida,198,64,32,88,9194,8294,4229,1265,2805,4580
East South Central,352,123,75,134,33189,30189,11329,4155,14485,14402
West South Central,478,198,80,198,36453,30572,12890,5231,13548,16599
Texas,271,113,49,109,22790,19030,8049,3539,8514,10929
Mountain,325,123,77,125,17141,14554,5365,3079,5880,9824
Pacific,822,289,184,369,42008,37175,14063,6453,16679,18786
California,649,220,134,294,32732,29432,11034,5446,12952,14594
Outlying areas,229,96,72,65,20963,17747,7909,3126,4412,13676
Puerto Rico,122,70,24,30,10564,8716,,,,
