Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,641,100.0
Agreement of the parties — informal settlement:,243,37.9
Before 10(k) notice,214,33.4
"After 10(k) notice, before opening of 10(k) hearing",25,3.9
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",4,0.6
Compliance with Board decision and determination of dispute,42,6.6
Withdrawal:,256,39.9
Before 10(k) notice (Withdrawal),217,33.8
"After 10(k) notice, before opening of 10(k) hearing (Withdrawal)",21,3.3
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute (Withdrawal)",0,0
After Board decision and determination of dispute (Withdrawal),18,2.8
Dismissal:,100,15.6
Before 10(k) notice (Dismissal),74,11.5
"After 10(k) notice, before opening of 10(k) hearing (Dismissal)",0,0
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute (Dismissal)",0,0
By Board decision and determination of dispute (Dismissal),26,4.1
